";relation;label"
"0;ville Paris comptait 2,187 millions habitants 1er janvier 2020;1"
"1;Paris joue rôle plan histoire Europe monde;0"
"2;Paris symbolise culture française;1"
"3;région parisienne accueille institutions internationales sièges sociaux grandes entreprises York Londres;0"
"4;région parisienne une riches régions Europe;1"
"5;densité réseaux ferroviaires autoroutier structures aéroportuaires font point convergence transports nationaux internationaux;0"
"6;politiques publiques cependant décentralisation;0"
"7;macrocéphalie atteinte ville concrétise par réseaux routiers ferroviaires pays centre écarts démographiques économiques disproportionnés capitale province;0"
"8;Paris accueille compétitions internationales — 1975;1"
"9;ville Paris propriétaire domaine entourant sources Seine;0"
"10;La Seine recevait affluent ruisseau Ménilmontant traversait faubourgs Saint;0"
"11;altitude territoires 31 mètres 39 mètres supérieure niveau moyen fleuve 26,72 mètres;0"
"12;col Chapelle hauteurs Belleville butte Montmartre lieu voies communication régions Nord routières Antiquité;0"
"13;géologie Paris alentours représente synthèse ensemble;0"
"14;mer venue ouest dépose calcaires pisolithiques calcaire grains irréguliers forme pois).Cycle thanétien –59 –55 millions années;0"
"15;Cycle aquitanien de –20 millions années;1"
"16;plissement affecté sol Paris époque formation massif alpin déterminé structure actuelle formant bombements orientation;0"
"17;bombements encadrent synclinal fosse Saint Denis passe Pontoise Cormeilles-en-Parisis Argenteuil Villemomble Rosny-sous-Bois;0"
"18;plateau Beauce stampien sommet buttes témoins Montmartre Belleville;0"
"19;superficie excavée représente 850 hectares;1"
"20;Paris a climat type océanique influence océanique dépasse continentale;0"
"21;développement urbanisation provoque augmentation température baisse nombre jours brouillard;0"
"22;record température chaude eu lieu;1"
"23;température atteint 36,5 ° C;1"
"24;agriculture urbaine 2016 place modeste comparée métropoles Détroit Montréal Berlin Bruxelles 44 installations agricoles 1,6 hectare toits 1,3 hectare sol;1"
"25;La Ville donne objectif 33 hectares;0"
"26;développement durable rattaché Ministère Transition écologique publié bilan montrant amélioration qualité air extérieur France;1"
"27;émissions liées activité humaine baissé entre émissions dioxyde soufre provenant industrie;1"
"28;ozone polluants présentent dépassements;0"
"29;2020Le confinement pour limiter l'impact de la pandémie de Covid-19 permet d' faible niveau pollution enregistré Airparif 40 ans;0"
"30;côté transports commun ferroviaires existe réseau dense centaine lignes bus plan initialement tracé essentiel;0"
"31;taux équipement automobile ménages Paris;0"
"32;mairie lancé système location voitures libre-service courte durée Autolib;1"
"33;circulation cycliste représente tiers circulation automobile;1"
"34;organisation actuelle ville doit travaux Haussmann;0"
"35;capitale France prend visage Paris laisse place « Grand Paris;0"
"36;organisation administrative Paris connu sous adaptation évolution démographique;1"
"37;19e 20e comptaient 000 1999 % parc social parisien concentré arrondissements;0"
"38;difficultés logement importantes à ménages capitale confrontés 2016 taux hausse 2015;0"
"39;mise place Casier Sanitaire maisons Paris permis d ’ identifier 17 îlots insalubres Paris;1"
"40;îlots repris par forme évoluer;0"
"41;42 rue Beaubourg reconstruit entre politique menée;0"
"42;nombre 346 000 logements vacants % logements capitale;0"
"43;73 362 foyers fiscaux déclaraient patrimoine moyen 1 961 667 euros;1"
"44;catégories socioprofessionnelles favorisées représentent 2018 86 % transactions logements 69 %;1"
"45;cité prend nom Paris;1"
"46;épisode procure grand prestige Paris comte Eudes aidé défense;0"
"47;Paris poursuit croissance;1"
"48;rayonnement intellectuel accroît enseignement moderne tourné humanisme sciences exactes;1"
"49;ville pourtant ruinée affamée ouvre portes;1"
"50;La Journée des barricades (1648) marque début Fronde provoque importante crise économique;1"
"51;Versailles dépossède Paris;1"
"52;C période salons littéraires;0"
"53;journée 10 août voit foule assiéger Palais Tuileries soutien gouvernement municipal;1"
"54;Parisiens vivent années rationnement;1"
"55;L'Empereur multiplie par points eau alimentés réseau 50 km canaux acheminent eau Ourcq;1"
"56;bataille Paris entraîne capitulation capitale;1"
"57;choléra 1832 fait 32 000 victimes;1"
"58;Napoléon III a idées précises urbanisme logement Paris aujourd' Haussmann;1"
"59;capitale française passe 288      7 802 hectares;0"
"60;ville Paris lève grand emprunt public 1,2 million francs grand succès;1"
"61;ville possède entreprises emploient million ouvriers;1"
"62;expositions universelles laissent large empreinte;1"
"63;Années folles, Paris connaît apogée influence culturelle;1"
"64;crue centennale Seine provoque graves inondations ville connue cause milliards francs dégâts;1"
"65;gouvernement maréchal Pétain installé Vichy Paris cesse d' commandement militaire allemand France Militärbefehlshaber Frankreich;0"
"66;Libération Paris fait 25 août entrée Paris 2e division blindée général Leclerc 4e division infanterie américaine major-général Raymond O. Barton;1"
"67;manifestation soutien gouvernement Général Gaulle réunit million personnes place Étoile;1"
"68;Paris élit maire gauche socialiste Bertrand Delanoë ensuite réélu 2008;1"
"69;Paris janvier collectivité statut exerce compétences commune département;1"
"70;Paris avait maire;1"
"71;préfet police nommé État conserve pouvoirs police;1"
"72;budget primitif 2011 ville département élevait à 6,906 milliards euros consacrés fonctionnement 1,676 investissement;1"
"73;fiscalité représente 55 % recettes ville;1"
"74;stabilité concerne taux imposition;1"
"75;bulle développée mandature M. Delanoë permis hausse extrêmement importante rentrées fiscales assises immobilier;1"
"76;bulle fiscale permis d' effectifs Mairie Paris 49 000 agents 73 000 agents;1"
"77;explosion bulle immobilière temporaire laisse mairie;0"
"78;Bertrand Delanoë annoncé en création nouvelle taxe départementale 3 % foncier payée uniquement propriétaires hausse taux impôt foncier;1"
"79;agences notation rétrogradent Paris;1"
"80;arrondissement trouve tribunal instance;0"
"81;ordre administratif Paris ressort tribunal administratif Paris;1"
"82;Paris siègent juridictions nationales suprêmes Conseil constitutionnel Cour cassation Conseil État;1"
"83;prisons devenues historiques;1"
"84;Palais justice possédait propre prison Conciergerie accueilli Girondins Marie;1"
"85;région Île-de-France totalise à crimes délits commis France métropolitaine;1"
"86;Paris classement grandes;0"
"87;macrocéphalie atteinte ville concrétise par réseaux routiers ferroviaires pays centre écarts démographiques économiques disproportionnés capitale province;0"
"88;ville conclu pactes amitié coopération villes monde Tokyo 1982;1"
"89;Paris joue rôle culturel diplomatique;1"
"90;région Île-de-France accueille institutions internationales;1"
"91;région Île-de-France accueille sièges sociaux grandes entreprises 27 sièges sociétés Fortune Global 500 Île-de-France;1"
"92;capitale française accueille siège banques;1"
"93;banques transféré équipes Londres Paris;1"
"94;place Paris accueille 33 entreprises françaises leaders mondiales secteur;1"
"95;métropole Grand Paris accueille siège principaux groupes télévisuels français Groupe TF1 France Télévisions France Info;1"
"96;Boulogne-Billancourt trouve siège TF1 chaîne commerciale Europe;1"
"97;ville occupe place éminente scène mondiale;1"
"98;-Honoré trouvent Louis Vuitton, Guerlain, d'autres grandes marques de luxe, et à l'angle avec la rue Boissy-d'Anglas, Hermès et Lanvin;1"
"99;marques françaises trouvent marques luxe étrangères Chopard Gucci etc.;1"
"100;Paris trouve siège LVMH;1"
"101;C au musée trouve Joconde tableau célèbre monde objet art visité monde;0"
"102;ans tient à Foire internationale art contemporain FIAC;0"
"103;Organisation internationale francophonie OIF a siège Paris;1"
"104;Paris trouve siège fédération internationale automobile;1"
"105;Dame monument visité;1"
"106;région Île-de-France accueille 42 millions touristes an Paris intra-muros 32 millions 2013 approximativement 15,5 millions étrangers ville visitée monde;1"
"107;Paris déroule prix hippiques prestigieux monde prix Arc Triomphe hippodrome Paris Longchamp prix Amérique hippodrome Vincennes;1"
"108;Paris comptait 2 190 327 habitants;1"
"109;recensements communes 10 000 habitants moyen lieu;1"
"110;aire urbaine incluant communes situées zone influence forte ville comprend 1 794 communes;1"
"111;zone métropolitaine Paris compte 15 % musulmans;1"
"112;13e arrondissement situe quartier asiatique Paris important Chinatown Europe;1"
"113;2005 Paris 41,3 % jeunes 18 ans au parent immigré 12,1 % origine maghrébine 9,9 % Afrique subsaharienne;1"
"114;commune comptait 501 836 familles regroupant 1 433 376 personnes 68 % population parisienne;1"
"115;Paris possède établissements zone éducation prioritaire ZEP réseau éducation prioritaire REP 214 écoles 32 collèges enfant parisien;1"
"116;ville totalisait 881 établissements publics 323 écoles maternelles 334 écoles élémentaires établissements spécialisés écoles hôpital 110 collèges 72 lycées généraux technologiques 34 lycées professionnels lycées expérimentaux publics;1"
"117;enseignement supérieur regroupait 2007 585 000 étudiants Île-de-France quart total français;1"
"118;plateau Saclay sud Paris devenu pôle important;1"
"119;Foire Paris rappelle grands rassemblements médiévaux;1"
"120;semi-marathon Paris marathon Paris ont lieu;1"
"121;Gay pride en Fête Musique 21 juin;1"
"122;14 juillet occasion traditionnel défilé militaire Champs-Élysées Concert Paris Champ-de-Mars feu artifice tiré jardins Trocadéro;1"
"123;mois accueille Foire internationale art contemporain FIAC;1"
"124;grande couronne possède hôpitaux généralement intercommunaux;1"
"125;Paris a forte densité médicale 11,2 médecins;1"
"126;L'Officiel des spectacles et Le Figaroscope, quant à eux, offrent programme culturel exhaustif métropole;1"
"127;Teleplaisance.org, autre chaîne associative diffuse programmes amateurs;1"
"128;chaînes partagent canal;1"
"129;Dame cathédrale diocèse;1"
"130;ville compte paroisses catholiques accueillant fidèles vingt-quatre missions étrangères 730 prêtres 220 communautés religieuses femmes 80 hommes;1"
"131;nombre important groupes Fortune 500 ont siège;1"
"132;capitale française dépose année brevets;0"
"133;salaires parisiens supérieurs à 19 euros heure;1"
"134;capitale tête villes France;0"
"135;ville Paris connaît tertiarisation croissante économie prolifération sociétés services;1"
"136;122 300 entreprises employaient Au salarié;0"
"137;Rive Gauche dans le 13e arrondissement avancé projets cours développement;0"
"138;Paris compte 1 800 immeubles classés inscrits inventaire monuments historiques lieux culte;1"
"139;monuments style classique marquent centre Paris empreinte;1"
"140;tour Montparnasse basilique Sacré-Cœur sommet de hauteur points repère importants ciel parisien;1"
"141;Paris comporte 463 parcs jardins bois Boulogne bois Vincennes cimetières arborés;1"
"142;type jardin voit jour;0"
"143;jardins familiaux éducatifs agrémenté périphérie ville long ancienne ligne ferroviaire circulaire « Petite Ceinture;1"
"144;grandes figures trouvé repos;1"
"145;promoteur chinois construit « petit Paris;1"
"146;Paris et la région Île-de-France possèdent importante offre muséographique France;1"
"147;Capitale pluriséculaire riche patrimoine Paris attire année visiteurs;0"
"148;château Versailles palais édifié Roi-Soleil résidence rois France XVIIe XVIIIe siècles attire millions visiteurs an;1"
"149;ville possède musée Petit Palais musée beaux-arts ville Paris musée Cernuschi musée Arts asiatiques ville Paris;1"
"150;établissement public dépositaire en dépôt légal;0"
"151;ville gère cinquante-cinq;0"
"152;Paris intra-muros offre réparties;1"
"153;légendes monde français francophone Édith Piaf Maurice Chevalier Georges Brassens Charles Aznavour Jacques Brel trouvé gloire;1"
"154;salle Pleyel accueille concerts symphoniques;1"
"155;Philharmonie Paris Cité musique parc Villette propose concerts musique classique contemporaine;1"
"156;Élysée Montmartre mentionné ci-dessous taille nettement réduite devenu salle concert;1"
"157;guinguettes cafés-concerts constituaient épine dorsale;1"
"158;Paris compte grand nombre salles obscures 88 cinémas 2012 38 classés;1"
"159;salles possèdent 1 000 places;1"
"160;ancien American Center architecte Frank O.Gehry abrite désormais Cinémathèque française nord passerelle;1"
"161;cafés devenus partie intégrante culture française aspect;0"
"162;immigration provenance pays étrangers apporté grande diversité culinaire trouve Paris grand nombre établissements cuisine Italie Maghreb Asie établissements proposant préparations culinaires provenance continents;1"
"163;rayonnement université fait grands foyers intellectuels monde chrétien;1"
"164;adoption dialecte parisien Cour affirme vocation;1"
"165;Paris redevient centre culturel royaume;1"
"166;monde littéraire fait large;0"
"167;immeubles portent plaque rappelant séjour écrivain;1"
"168;Paris inspiré écrivains;1"
"169;Paris occupe place privilégiée œuvre Scènes vie parisienne;1"
"170;Mystères Paris Eugène Sue large place Paris pègre connaît immense succès parution feuilleton 1842–1843;1"
"171;volumineux ouvrages traitant Paris populaire devenu classiques;1"
"172;poésie joue rôle;1"
"173;Paris constitue thème cadre;0"
"174;œuvres expriment foi médiévale;1"
"175;Paris devient capitale musique grands maîtres étrangers Rossini Gaetano Donizetti Richard Wagner attire rayonnement grâce propres compositions;1"
"176;Gounod renouvelle opéra lyrique;1"
"177;musique festive danses Paris célèbre dans XIXe siècle;1"
"178;Saëns font de maitresse musique ballet;0"
"179;fin XIXe siècle époque chansonniers Chat noir lieu représentation emblématique immortalisé Toulouse Lautrec;0"
"180;scènes insolites constituaient sujets prédilection enfants jouant rues concierges bistrots marchés;1"
"181;images Willy Ronis évoquent Belleville Ménilmontant;0"
"182;cinéma français devenus classiques;1"
"183;film choral Cédric Klapisch Paris 2008 déroule exclusivement;0"
"184;origine périphrase vient de XVIIe siècle;1"
"185;jeu déroule début Seconde Guerre mondiale;1"
"186;missions ont lieu également;1"
"187;dessinée belge Ligne claire;0"
"188;-Christophe .Principales bandes dessinées décor ville Paris;0"
